5VDC,3VDC,1VDC,0.5VDC,0.1VDC,5V50Hz,5V30Hz,5V10Hz,5V5Hz,5V1Hz,3V50Hz,3V30Hz,3V10Hz,3V5Hz,3V1Hz,1V50Hz,1V30Hz,1V10Hz,1V5Hz,1V1Hz,0.5V50Hz,0.5V30Hz,0.5V10Hz,0.5V5Hz,0.5V1Hz,0.1V50Hz,0.1V30Hz,0.1V10Hz,0.1V5Hz,0.1V1Hz
2870,1710,1000,515,127,2.8,2.8,3,2.92,2.8,1.7,1.8,1.8,2.2,2,0.58,0.58,0.62,0.64,0.68,0.28,0.296,0.312,0.324,0.504,0.072,0.07,0.072,0.078,0.082
2960,1740,950,479,78.2,2.8,2.8,2.88,2.96,3,1.7,1.74,2,2.2,1.8,0.58,0.58,0.62,0.64,0.664,0.28,0.296,0.324,0.324,0.448,0.072,0.072,0.074,0.078,0.086
2930,1700,930,479,81,2.6,2.8,2.88,2.96,3,1.7,1.74,2,2.2,2,0.58,0.58,0.62,0.66,0.656,0.28,0.292,0.32,0.328,0.368,0.07,0.074,0.076,0.078,0.084
2840,1770,920,478,73,2.8,2.8,3,2.96,2.8,1.72,1.76,2,2,2,0.58,0.58,0.62,0.64,0.72,0.28,0.296,0.316,0.328,0.472,0.07,0.072,0.074,0.08,0.082
2970,1810,1010,572,129,2.8,2.8,2.88,2.96,2.8,1.7,1.76,2,2,1.8,0.58,0.58,0.62,0.64,0.656,0.28,0.296,0.324,0.34,0.428,0.07,0.072,0.076,0.082,0.088
2700,2050,1010,515,126,2.8,2.8,2.88,2.96,2.8,1.7,1.76,2,2,2,0.58,0.58,0.62,0.64,0.664,0.28,0.296,0.324,0.332,0.358,0.072,0.074,0.078,0.082,0.084
2880,2040,961,479,75,2.8,3,3,3.04,2.8,1.76,1.8,2,2,2,0.58,0.62,0.64,0.66,0.68,0.28,0.304,0.328,0.336,0.48,0.072,0.074,0.076,0.08,0.086
2770,1900,961,479,79.1,2.8,3,3.04,3.04,3,1.76,1.8,2,2,2,0.58,0.62,0.64,0.66,0.656,0.288,0.304,0.324,0.344,0.464,0.072,0.074,0.078,0.08,0.088
2670,2050,958,477,71.9,2.8,2.8,2.96,3.04,3,1.76,1.82,2,2,1.8,0.58,0.62,0.64,0.66,0.688,0.288,0.3,0.324,0.34,0.346,0.072,0.074,0.076,0.082,0.088
2960,1810,1010,565,127,2.8,3,3.04,3.04,3,1.78,1.82,2,2,2.2,0.58,0.62,0.66,0.68,0.6,0.292,0.304,0.328,0.34,0.464,0.072,0.074,0.078,0.082,0.086
2610,2010,1000,510,125,2.8,2.8,3.04,3.04,3,1.78,1.84,2,2,2,0.58,0.62,0.64,0.68,0.664,0.292,0.304,0.324,0.344,0.496,0.072,0.074,0.078,0.082,0.084
2550,1730,962,479,77,2.8,2.8,3,3.04,3.2,1.78,1.84,2,2,2,0.58,0.62,0.64,0.68,0.688,0.292,0.3,0.324,0.34,0.368,0.072,0.076,0.082,0.082,0.092
2520,1910,964,479,75.5,3,3,3.12,3.12,3,1.84,1.88,2,2,2,0.62,0.64,0.68,0.68,0.56,0.3,0.312,0.336,0.344,0.504,0.072,0.076,0.078,0.082,0.086
2530,1750,961,477,70.2,3,3,3.08,3.12,3.2,1.84,1.88,2,2,2.2,0.6,0.64,0.68,0.7,0.672,0.3,0.312,0.332,0.348,0.368,0.072,0.076,0.078,0.082,0.092
2960,1820,1000,558,124,3,3,3.08,3.12,3.2,1.84,1.88,2,2,2.2,0.62,0.64,0.68,0.7,0.696,0.3,0.316,0.332,0.348,0.356,0.072,0.074,0.08,0.082,0.088
2820,1710,1010,514,132,,,,,,,,,,,,,,,,,,,,,,,,,
2840,1710,963,479,72.5,,,,,,,,,,,,,,,,,,,,,,,,,
2800,1670,962,479,81.5,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1700,959,480,67.5,,,,,,,,,,,,,,,,,,,,,,,,,
2960,1830,1000,555,120,,,,,,,,,,,,,,,,,,,,,,,,,
2800,1750,980,517,132,,,,,,,,,,,,,,,,,,,,,,,,,
2820,1680,959,479,71.9,,,,,,,,,,,,,,,,,,,,,,,,,
2680,1700,959,480,75.9,,,,,,,,,,,,,,,,,,,,,,,,,
2820,1710,957,478,75.8,,,,,,,,,,,,,,,,,,,,,,,,,
2950,1810,1000,542,115,,,,,,,,,,,,,,,,,,,,,,,,,
2800,2040,1000,514,124,,,,,,,,,,,,,,,,,,,,,,,,,
2710,1840,960,479,71.2,,,,,,,,,,,,,,,,,,,,,,,,,
2770,1860,960,479,76.7,,,,,,,,,,,,,,,,,,,,,,,,,
2800,1790,957,477,64.4,,,,,,,,,,,,,,,,,,,,,,,,,
2910,1830,1000,530,111,,,,,,,,,,,,,,,,,,,,,,,,,
2780,1710,1000,513,122,,,,,,,,,,,,,,,,,,,,,,,,,
2810,1720,970,479,70.9,,,,,,,,,,,,,,,,,,,,,,,,,
2720,1690,964,480,72.5,,,,,,,,,,,,,,,,,,,,,,,,,
2810,1710,962,476,64.9,,,,,,,,,,,,,,,,,,,,,,,,,
2800,1800,1000,527,111,,,,,,,,,,,,,,,,,,,,,,,,,
